sno,sort_order,event_type_mod,side,is_goal,assist_method,shot_outcome_mod,location_mod,Side1_Win,Side2_Win,Draw
3,28,0,2,0,0,0,1,0,0,1
3,29,3,1,0,0,0,6,0,0,1
3,30,1,2,1,2,1,13,0,1,0
3,31,0,2,0,0,0,1,0,1,0
3,32,3,1,0,0,0,6,0,1,0
3,33,0,2,0,0,0,6,0,1,0
3,34,3,2,0,0,0,6,0,1,0
3,35,0,1,0,0,0,1,0,1,0
3,36,0,2,0,0,0,6,0,1,0
3,37,0,1,0,0,0,6,0,1,0
3,38,0,2,0,0,0,1,0,1,0
3,39,3,1,0,0,0,6,0,1,0
3,40,4,1,0,0,0,6,0,1,0
3,41,0,2,0,0,0,6,0,1,0
3,42,1,1,0,4,2,3,0,1,0
3,43,0,2,0,0,0,6,0,1,0
3,44,0,1,0,0,0,6,0,1,0
3,45,0,1,0,0,0,6,0,1,0
3,46,1,1,0,1,1,15,0,1,0
3,47,0,1,0,0,0,6,0,1,0
3,48,0,2,0,0,0,1,0,1,0
3,49,3,1,0,0,0,6,0,1,0
3,50,3,2,0,0,0,6,0,1,0
3,51,0,1,0,0,0,1,0,1,0
3,52,1,1,0,2,1,3,0,1,0
3,53,1,1,0,1,2,15,0,1,0
3,54,0,2,0,0,0,2,0,1,0
3,55,3,1,0,0,0,6,0,1,0
3,56,0,1,0,0,0,6,0,1,0
3,57,1,1,0,1,2,15,0,1,0
3,58,0,1,0,0,0,6,0,1,0
3,59,0,2,0,0,0,1,0,1,0
3,60,3,1,0,0,0,6,0,1,0
3,61,0,2,0,0,0,6,0,1,0
3,62,1,2,0,3,2,15,0,1,0
3,63,7,1,0,0,0,6,0,1,0
3,64,0,2,0,0,0,2,0,1,0
3,65,3,1,0,0,0,6,0,1,0
3,66,0,2,0,0,0,1,0,1,0
3,67,3,1,0,0,0,6,0,1,0
3,68,1,2,0,0,1,15,0,1,0
3,69,0,2,0,0,0,6,0,1,0
